编号,成语,拼音,6星干员,5星干员,4星干员,3星干员,2星干员,1星干员
1,哀哀父母,āi,艾拉 艾雅法拉 艾丽妮,埃拉托 爱丽丝,艾丝黛尔,,,
,,āi,艾拉 艾雅法拉 艾丽妮,埃拉托 爱丽丝,艾丝黛尔,,,
,,fù,,芙兰卡,,芙蓉,,
,,mǔ,,暮落,慕斯,,,
2,哀鸿遍地,āi,艾拉 艾雅法拉 艾丽妮,埃拉托 爱丽丝,艾丝黛尔,,,
,,hóng,鸿雪,红 红隼,红云 红豆,,,
,,biàn,,鞭刃,,,,
,,dì,涤火杰西卡,,地灵,,,
3,哀鸿遍野,āi,艾拉 艾雅法拉 艾丽妮,埃拉托 爱丽丝,艾丝黛尔,,,
,,hóng,鸿雪,红 红隼,红云 红豆,,,
,,biàn,,鞭刃,,,,
,,yě,夜莺,夜半 夜魔 耶拉 野鬃,夜烟,,夜刀,
4,哀毁骨立,āi,艾拉 艾雅法拉 艾丽妮,埃拉托 爱丽丝,艾丝黛尔,,,
,,huǐ,灰烬,灰喉 灰毫,,,,
,,gǔ,,,古米,,,
,,lì,,历阵锐枪芬,砾,,,
5,哀毁瘠立,āi,艾拉 艾雅法拉 艾丽妮,埃拉托 爱丽丝,艾丝黛尔,,,
,,huǐ,灰烬,灰喉 灰毫,,,,
,,jí,棘刺,极光 极境,,,,
,,lì,,历阵锐枪芬,砾,,,
6,哀梨蒸食,āi,艾拉 艾雅法拉 艾丽妮,埃拉托 爱丽丝,艾丝黛尔,,,
,,lí,,历阵锐枪芬,砾,,,
,,zhēng,,,,,,正义骑士号
,,shí,史尔特尔,狮蝎 石棉 蚀清 诗怀雅 食铁兽,石英,史都华德,,
7,哀丝豪竹,āi,艾拉 艾雅法拉 艾丽妮,埃拉托 爱丽丝,艾丝黛尔,,,
,,sī,斯卡蒂 伺夜,四月,,,,
,,háo,号角,,,,,
,,zhú,,铸铁,,,,
8,哀天叫地,āi,艾拉 艾雅法拉 艾丽妮,埃拉托 爱丽丝,艾丝黛尔,,,
,,tiān,,天火,,,,
,,jiào,,,角峰,,,
,,dì,涤火杰西卡,,地灵,,,
9,挨风缉缝,āi,艾拉 艾雅法拉 艾丽妮,埃拉托 爱丽丝,艾丝黛尔,,,
,,fēng,风笛,风丸,,,,
,,jī,棘刺,极光 极境,,,,
,,fèng,风笛,风丸,,,,
10,挨肩搭背,āi,艾拉 艾雅法拉 艾丽妮,埃拉托 爱丽丝,艾丝黛尔,,,
,,jiān,锏 缄默德克萨斯,见行者,坚雷,,,
,,dā,,达格达,,,,
,,bèi,,贝娜,,,,
11,捱风缉缝,āi,艾拉 艾雅法拉 艾丽妮,埃拉托 爱丽丝,艾丝黛尔,,,
,,fēng,风笛,风丸,,,,
,,qī,麒麟R夜刀,绮良,,,,
,,fèng,风笛,风丸,,,,
12,爱不释手,ài,艾拉 艾雅法拉 艾丽妮,埃拉托 爱丽丝,艾丝黛尔,,,
,,bù,,布洛卡,布丁,,,
,,shì,史尔特尔,狮蝎 石棉 蚀清 诗怀雅 食铁兽,石英,史都华德,,
,,shǒu,,守林人,,,,
13,爱莫能助,ài,艾拉 艾雅法拉 艾丽妮,埃拉托 爱丽丝,艾丝黛尔,,,
,,mò,魔王 莫斯提马,摩根,末药,,,
,,néng,能天使,,,,,
,,zhù,,铸铁,,,,
14,爱莫之助,ài,艾拉 艾雅法拉 艾丽妮,埃拉托 爱丽丝,艾丝黛尔,,,
,,mò,魔王 莫斯提马,摩根,末药,,,
,,zhī,止颂,至简,,,,
,,zhù,,铸铁,,,,
15,爱生恶死,ài,艾拉 艾雅法拉 艾丽妮,埃拉托 爱丽丝,艾丝黛尔,,,
,,shēng,圣约送葬人,,,,,
,,wù,乌尔比安,乌有 巫恋,,,,
,,sǐ,斯卡蒂 伺夜,四月,,,,
16,爱素好古,ài,艾拉 艾雅法拉 艾丽妮,埃拉托 爱丽丝,艾丝黛尔,,,
,,sù,塑心,,苏苏洛,,,
,,hào,号角,,,,,
,,gǔ,,,古米,,,
17,爱屋及乌,ài,艾拉 艾雅法拉 艾丽妮,埃拉托 爱丽丝,艾丝黛尔,,,
,,wū,乌尔比安,乌有 巫恋,,,,
,,jí,棘刺,极光 极境,,,,
,,wū,乌尔比安,乌有 巫恋,,,,
18,爱之欲其生,ài,艾拉 艾雅法拉 艾丽妮,埃拉托 爱丽丝,艾丝黛尔,,,
,,zhī,止颂,至简,,,,
,,yù,,羽毛笔,,,,
,,qí,麒麟R夜刀,绮良,,,,
,,shēng,圣约送葬人,,,,,
