拼音,6星干员,5星干员,4星干员,3星干员,2星干员,1星干员,成语
a,阿斯卡纶 阿,阿米娅 阿罗玛,阿消,,,,持正不阿 倒持太阿
ai,艾拉 艾雅法拉 艾丽妮,埃拉托 爱丽丝,艾丝黛尔,,,,哀哀父母 哀鸿遍地 哀鸿遍野 哀毁骨立 哀毁瘠立 哀梨蒸食 哀丝豪竹 哀天叫地 挨风缉缝 挨肩搭背 捱风缉缝 爱不释手 爱莫能助 爱莫之助 爱生恶死 爱素好古 爱屋及乌 爱之欲其生 碍手碍脚 暧昧不明 暧昧之情 白雪皑皑 不知自爱 车填马隘 楚楚可爱 方来未艾 方兴未艾 方滋未艾 豪竹哀丝 和蔼可亲 鸿雁哀鸣 兼爱无私 洁身自爱 克爱克威 期期艾艾 生荣死哀 舐犊之爱 束身自爱 未艾方兴 屋乌推爱 屋乌之爱 无羐无碍 相亲相爱
an,安洁莉娜,安哲拉,安比尔 暗索,安德切尔 安赛尔,,,安安稳稳 安分守己 安分守已 安份守己 安家立业 安眉带眼 安身立命 安身之处 安身之地 安生服业 安室利处 安危相易 安于一隅 鞍马劳神 鞍马之劳 鞍前马后 岸谷之变 按兵束甲 按步就班 按部就班 按甲寝兵 按甲休兵 按行自抑 案兵束甲 案牍劳形 案牍之劳 案甲休兵 案剑瞋目 案无留牍 暗斗明争 暗度陈仓 暗渡陈仓 暗昧之事 暗室不欺 暗室求物 暗送秋波 黯晦消沉 饱谙世故 变危为安 不安其室 不安于室 不安于位 不欺闇室 不欺暗室 盗名暗世 覆盂之安 各安生业 鸿案鹿车 花明柳暗 惶惶不安 惶恐不安 见鞍思马 立命安身 柳暗花明 柳暗花遮 六神不安 六畜不安 马不解鞍 买静求安 明推暗就 明争暗斗 潜移暗化 寝不安席 寝食不安 神安气集 随寓随安 问安视寝 问安视膳 雾暗云深 相安无事 相安相受 宴安鸠毒 宴安鸩毒 燕安鸩毒 燕幕自安 一马一鞍 一枕槐安 有案可稽 于安思危 坐不安席 坐立不安
ao,,奥斯塔 奥达,,,,,敖世轻物 嗷嗷待哺 遨翔自得 熬枯受淡 熬清守淡 熬清受淡 熬油费火 傲骨嶙嶙 傲睨得志 傲睨万物 傲睨一世 傲世轻物 傲霜斗雪 傲雪凌霜 傲雪欺霜 奥援有灵 懊悔无及 斗霜傲雪 桀敖不驯 桀傲不驯 桀骜不驯 桀骜不逊 桀骜自恃 欺霜傲雪 轻世傲物 轻视傲物 深山野墺 笑傲风月 啸傲风月
bai,百炼嘉维尔 白铁,拜松 柏喙 白金 白面鸮,白雪,,,,白白朱朱 白齿青眉 白骨露野 白黑不分 白黑分明 白华之怨 白袷蓝衫 白蜡明经 白龙鱼服 白眉赤眼 白山黑水 白手成家 白手起家 白手兴家 白首不渝 白首空归 白首齐眉 白首相知 白首一节 白天见鬼 白兔赤乌 白屋之士 白雪皑皑 白雪阳春 白衣卿相 白衣秀士 白蚁争穴 白鱼赤乌 白玉微瑕 白玉无瑕 白云孤飞 白云亲舍 白纸黑字 百般奉承 百般抚慰 百般折磨 百宝万货 百不获一 百不失一 百不一贷 百不一遇 百城之富 百尺无枝 百辞莫辩 百读不厌 百堵皆作 百端交集 百废待兴 百花齐放 百花争妍 百花争艳 百卉千葩 百喙莫辩 百喙一词 百计千方 百家争鸣 百里挑一 百伶百俐 百龄眉寿 百媚千娇 百密一疏 百年不遇 百年大计 百年大业 百年好合 百年好事 百年之柄 百年之好 百年之后 百年之业 百年之约 百念皆灰 百舌之声 百舍重茧 百舍重趼 百身何赎 百身莫赎 百世不磨 百世不易 百世流芳 百世流芬 百世师 百世之利 百世之师 百事大吉 百事无成 百思不得其解 百思不解 百思莫解 百死一生 百岁千秋 百岁之好 百岁之后 百无是处 百无一成 百无一能 百无一失 百无一是 百业萧条 百衣百随 百依百随 百战百败 百战百胜 百战不殆 百折不摧 百折不回 百折不移 百折千回 百紫千红 败井颓垣 拜赐之师 拜鬼求神 半文半白 半文不白 变态百出 兵多者败 不白之冤 不败之地 不分青白 不分青红皂白 不分皂白 不明不白 不问青红皂白 不问皂白 苍白无力 苍松翠柏 沉冤莫白 成败得失 成败兴废 成也萧何败萧何 惩一戒百 惩一儆百 惩一警百 齿白唇红 唇红齿白 鹑衣百结 大败亏输 大摇大摆 丹书白马 得失成败 多方百计 焚香礼拜 焚香膜拜 粉白黛黑 粉白墨黑 风清月白 浮一大白 富埒陶白 鬼计百端 含冤莫白 黑白分明 红白喜事 隳节败名 毁风败俗 歼一警百 教一识百 经史百子 精神百倍 九流百家 枯枝败叶 拉捭摧藏 李白桃红 立于不败之地 流芳百世 马角乌白 明明白白 仆仆亟拜 气急败坏 气急败丧 千方百计 千回百折 千娇百媚 千伶百俐 千磨百折 千姿百态 俏成俏败 青红皁白 青红皂白 青丝白马 倾家败产 身败名隳 身败名裂 身价百倍 身经百战 收成弃败 数黄道白 死败涂地 死乞白赖 死乞百赖 死求白赖 死求百赖 四百四病 四体百骸 四肢百骸 四肢百体 松柏之寿 松柏之志 素车白马 岁寒松柏 岁寒知松柏 颓垣败井 问十道百 乌白马角 五十步笑百步 详星拜斗 行百里者半九十 行百里者半于九十 须眉交白 虚室生白 压倒元白 阳春白雪 摇亿摆 一败涂地 一吠百声 一树百获 一笑百媚 一掷百万 壹败涂地 以白诋青 以白为黑 以黑为白 以一奉百 以一儆百 以一警百 优胜劣败 鱼龙百变 瑜百瑕一 原形败露 月白风清 皂白不分 贞松劲柏 真相大白 知白守黑 织白守黑 指皁为白 指皂为白 诸子百家 坐视成败
ban,,,,斑点,,,按步就班 按部就班 百般奉承 百般抚慰 百般折磨 扳龙附凤 班驳陆离 班荆道故 班荆道旧 班师得胜 班师回俯 班香宋艳 斑驳陆离 搬唇递舌 板板六十四 版版六十四 半半拉拉 半半路路 半饥半饱 半间半界 半间不界 半解一知 半路出家 半路修行 半青半黄 半身不遂 半生半熟 半生不熟 半死半生 半死不活 半死辣活 半吐半露 半推半就 半文半白 半文不白 半真半假 包办代替 尺板斗食 倒持手板 倒执手版 得失相半 斗牙拌齿 多多益办 咄嗟便办 咄嗟立办 鹤知夜半 黑天半夜 后台老板 减师半德 解衣般礴 科班出身 可见一斑 窥豹一斑 窥见一斑 陆离斑驳 天下乌鸦一般黑 无般不识 行百里者半九十 行百里者半于九十 血迹斑斑 血泪斑斑 一班一辈 一班一级 一般见识 一斑窥豹 一板一眼 一个半个 一鼓一板 一阶半级 一阶半职 一鳞半甲 一时半刻 一手包办 一丝半粟 一言半辞 一言半语 一支半节 一知半见 一知半解 一肢半节 一资半级 一字一板 以半击倍 有板有眼 捉班做势
bao,,暴行 暴雨,,,,,百宝万货 半饥半饱 包办代替 包打天下 包揽词讼 包罗万象 包罗万有 褒贬与夺 褒衣博带 宝刀不老 宝刀未老 宝马香车 宝山空回 宝珠市饼 饱谙世故 饱经沧桑 饱经风霜 饱经风雨 饱经世变 饱经世故 饱经霜雪 饱学之士 报效万一 抱宝怀珍 抱诚守真 抱璞泣血 抱朴含真 抱椠怀铅 抱怨雪耻 抱枝拾叶 鲍鱼之次 鲍鱼之肆 暴风疾雨 暴戾恣睢 暴露无遗 暴殄天物 薄唇轻言 薄情无义 不置褒贬 打击报复 大胆包身 大度包容 胆大包天 盗食致饱 道微德薄 德浅行薄 奉为至宝 腹饱万言 革奸铲暴 鼓睛暴眼 含苞待放 含苞欲放 红旗报捷 怀真抱素 怀质抱真 怀珠抱玉 荒时暴月 饥饱劳役 饥附饱飏 急风暴雨 疾风暴雨 疾雨暴风 兼包并容 兼包并畜 兼容并包 骄侈暴佚 解衣包火 解衣抱火 窥豹一斑 龙眉豹颈 龙骧豹变 鹿驯豕暴 明哲保身 命薄缘悭 逆天暴物 奇珍异宝 迁兰变鲍 擒奸讨暴 轻薄无礼 轻薄无行 轻薄无知 轻傜薄赋 轻徭薄赋 轻徭薄税 轻繇薄赋 山包海容 善有善报 身微力薄 十寒一暴 食不暇饱 示贬于褒 势孤力薄 晚节不保 帏薄不修 尾生抱柱 文房四宝 无价之宝 物华天宝 希世之宝 稀世之宝 香车宝马 鸮鸣鼠暴 言行抱一 眼馋肚饱 一斑窥豹 一揽包收 一手包办 一叶报秋 一字褒贬 以暴易暴 以德报德 以德报怨 以怨报德 以直报怨 以直抱怨 异宝奇珍 狱货非宝 冤冤相报 陨雹飞霜 诛暴讨逆 助桀为暴 自暴自弃 自弃自暴
bei,,贝娜,,,,,挨肩搭背 卑辞厚礼 卑身贱体 卑以自牧 杯酒解怨 杯茗之敬 杯蛇鬼车 杯水粒粟 杯水之敬 悲不自胜 悲歌击筑 悲歌易水 悲喜交集 北辕适楚 北辕适粤 备多力分 备位充数 背城借一 背城一战 背腹受敌 背惠食言 背井离乡 背水一战 背乡离井 倍道兼行 并行不悖 乘其不备 乘胜逐北 出其不备 褚小杯大 大慈大悲 大放悲声 德容兼备 风木含悲 风木之悲 蜂腰削背 蜂腰猿背 负德背义 腹背受敌 汗出浃背 汗流夹背 汗流浃背 喝西北风 击筑悲歌 浃背汗流 假慈悲 见哭兴悲 戒备森严 精神百倍 离乡背井 离乡背土 里程碑 流汗浃背 马空冀北 曝背食芹 泣麟悲凤 扇枕温被 身价百倍 声价十倍 束贝含犀 霜露之悲 太山北斗 泰山北斗 推崇备至 韦裤布被 违天悖理 文武兼备 文修武备 无名小辈 无一不备 乡利倍义 向声背实 象箸玉杯 言行相悖 掩其不备 掩其无备 燕市悲歌 夜行被绣 一班一辈 一悲一喜 以半击倍 阴山背后 猿悲鹤怨 云悲海思 拙贝罗香
bian,,鞭刃,,,,,哀鸿遍地 哀鸿遍野 岸谷之变 百辞莫辩 百喙莫辩 褒贬与夺 饱经世变 边尘不惊 鞭不及腹 便宜施行 便宜行事 变风易俗 变古易俗 变化多端 变醨养瘠 变名易姓 变俗易教 变态百出 变危为安 遍地开花 并容徧覆 博闻辩言 不便水土 不辨菽麦 不辨菽粟 不辨真伪 不辩菽麦 不落边际 不容置辩 不事边幅 不修边幅 不脩边幅 不置褒贬 不着边际 打边鼓 大辩不言 道边苦李 地狱变相 调风变俗 蠹简遗编 断简遗编 咄嗟便办 风尘之变 风雷之变 风月无边 风云变态 风云突变 诡变多端 鉴机识变 矫世变俗 九变十化 苦海无边 览闻辩见 离经辨志 历历可辨 陵谷变迁 龙骧豹变 马腹逃鞭 米盐博辩 明辨是非 明教不变 莫辨楮叶 能言善辩 千变万化 千变万轸 迁兰变鲍 十变五化 时移世变 时易世变 识时达变 示贬于褒 桃李遍天下 涂歌里抃 蜕化变质 无边风月 无边无际 无边无沿 无边无垠 无可争辩 无可置辩 析辨诡词 析辨诡辞 析辩诡辞 喜跃抃舞 修饰边幅 掩骼埋窆 摇身一变 一成不变 一字褒贬 移易迁变 遗编断简 因利乘便 饮水辨源 鱼龙百变 鱼龙变化 跃马扬鞭 云蒸龙变 真伪莫辨 至死不变 质疑辨惑 作舍道边
bing,,冰酿,,,,,按兵束甲 按甲寝兵 按甲休兵 案兵束甲 案甲休兵 百年之柄 宝珠市饼 冰寒于水 冰肌玉骨 冰洁玉清 冰洁渊清 冰清玉粹 冰清玉洁 冰山易倒 冰天雪地 冰天雪窖 冰天雪窑 冰消雪释 冰雪严寒 兵车之会 兵出无名 兵多者败 兵贵神速 兵临城下 兵戎相见 兵闻拙速 兵销革偃 兵行诡道 秉文兼武 秉文经武 秉正无私 秉烛待旦 秉烛夜游 炳炳焤焤 炳烛夜游 并蒂芙蓉 并容徧覆 并行不悖 病骨支离 病魔缠身 充饥画饼 单兵孤城 滴水成冰 砥兵砺伍 短兵接战 短兵相接 多收并畜 芙蓉并蒂 谷马砺兵 画饼充饥 讳兵畏刑 贿赂并行 积劳成病 疾病相扶 佳兵不祥 坚甲厉兵 坚甲利兵 兼包并容 兼包并畜 兼容并包 兼容并蓄 兼收并录 兼收并畜 兼收并蓄 煎水作冰 骄兵之计 诘戎治兵 解兵释甲 解甲休兵 精兵简政 久病成医 枯鱼病鹤 牢甲利兵 历兵秣马 历兵粟马 厉兵秣马 厉兵粟马 励兵秣马 秣马厉兵 屏气慑息 屏声息气 齐名并价 弃甲曳兵 千兵万马 青蓝冰水 缮甲治兵 生老病死 盛食厉兵 手到病除 束兵秣马 霜露之病 水火兵虫 水洁冰清 思妇病母 四百四病 遂迷不竝 添兵减灶 玩兵黩武 无病呻吟 无病自炙 雾释冰融 洗兵牧马 夏虫不可以语冰 夏虫疑冰 夏虫语冰 行兵布阵 雪窖冰天 雪窑冰天 偃兵修文 偃甲息兵 偃武休兵 扬风抦雅 药到病除 曳兵弃甲 曳兵之计 一秉虔诚 一病不起 饮冰食檗 饮冰食蘖 玉骨冰肌 玉洁冰清 玉清冰洁 整甲缮兵 炙冰使燥 重迹屏气
